date,time,temperature,humid,wind,direction
08-03-11,12:40,9.6,79,15.7,"225
"
08-03-11,12:45,9.6,79,16.1,"270
"
08-03-11,12:50,9.7,79,15.5,"285
"
08-03-11,12:55,9.7,78,17.4,"275
"
08-03-11,13:00,9.8,78,12.1,"250
"
08-03-11,13:05,9.8,78,16.8,"225
"
08-03-11,13:10,9.8,78,17.2,"195
"
08-03-11,13:15,9.8,78,13.8,"230
"
08-03-11,13:20,9.9,78,9.4,"255
"
08-03-11,13:24,9.9,78,15.2,"280
"
08-03-11,13:29,9.9,78,8.1,"235
"
08-03-11,13:35,10,78,10.8,"260
"
08-03-11,13:40,10,78,11.8,"205
"
08-03-11,13:45,10.4,77,16.1,"260
"
08-03-11,13:50,10.2,77,15.3,"305
"
08-03-11,13:55,10.2,77,15.3,"305
"
08-03-11,14:10,10.5,78,9.5,"250
"
08-03-11,14:14,11.2,76,8.1,"270
"
08-03-11,14:20,10.9,76,6.0,"290
"
08-03-11,14:25,10.8,75,9.6,"285
"
08-03-11,14:30,10.5,76,6.5,"275
"
08-03-11,14:35,10.2,77,9.9,"285
"
08-03-11,14:40,10,77,10.4,"280
"
08-03-11,14:45,10,77,5.7,"275
"
08-03-11,14:50,10,78,7.7,"285
"
08-03-11,14:55,10,78,6.9,"295
"
08-03-11,15:05,10.2,78,0.4,"300
"
08-03-11,15:10,10.2,78,0.5,"290
"
08-03-11,15:15,10.2,79,1.7,"230
"
08-03-11,15:19,10.2,79,8.2,"30
"
08-03-11,15:25,10.3,79,11.0,"65
"
08-03-11,15:30,10.5,78,12.5,"70
"
08-03-11,15:35,10.5,78,7.8,"315
"
08-03-11,15:40,10.7,78,6.2,"310
"
08-03-11,15:45,10.7,76,9.6,"340
"
08-03-11,15:50,10.8,75,18.8,"80
"
08-03-11,15:55,10.8,75,15.3,"110
"
08-03-11,16:00,11.3,72,16.2,"95
"
08-03-11,16:05,11.3,71,15.5,"120
"
08-03-11,16:09,11.5,72,19.6,"105
"
08-03-11,16:15,11.5,71,20.5,"120
"
08-03-11,16:20,11.5,71,18.6,"130
"
08-03-11,16:25,11.5,71,16.2,"130
"
08-03-11,16:30,11.4,71,13.8,"170
"
08-03-11,16:35,11.3,72,9.4,"195
"
08-03-11,16:40,11,73,12.5,"290
"
08-03-11,16:45,10.4,75,11.7,"285
"
08-03-11,16:50,10.3,75,9.9,"295
"
08-03-11,16:55,10.4,75,4.8,"285
"
08-03-11,17:00,10.3,75,10.3,"290
"
08-03-11,17:05,10.3,75,4.7,"290
"
08-03-11,17:10,10.4,75,1.0,"290
"
08-03-11,17:15,10.5,75,4.8,"300
"
08-03-11,17:19,10.6,75,7.4,"280
"
08-03-11,17:25,10.7,75,2.1,"290
"
08-03-11,17:30,10.6,74,13.0,"285
"
08-03-11,17:35,10.5,74,0.5,"295
"
08-03-11,17:40,10.7,74,8.2,"295
"
08-03-11,17:45,10.7,74,7.5,"285
"
08-03-11,17:50,10.6,74,7.3,"285
"
08-03-11,17:55,10.6,72,6.9,"285
"
08-03-11,18:00,10.8,71,8.4,"285
"
08-03-11,18:05,11.1,69,12.0,"285
"
08-03-11,18:10,11.1,70,10.1,"290
"
08-03-11,18:15,11.1,69,8.4,"295
"
08-03-11,18:20,11,67,11.7,"285
"
08-03-11,18:25,11.1,68,13.1,"285
"
08-03-11,18:29,11.1,68,15.5,"285
"
08-03-11,18:35,11,67,21.3,"285
"
08-03-11,18:40,11,68,8.7,"290
"
08-03-11,18:45,10.7,67,8.6,"280
"
08-03-11,18:50,10.6,67,8.8,"285
"
08-03-11,18:55,10.4,67,6.8,"295
"
08-03-11,19:00,10.5,67,10.7,"295
"
08-03-11,19:05,10.6,67,10.8,"275
"
08-03-11,19:10,10.6,66,9.1,"280
"
08-03-11,19:15,10.6,66,8.8,"280
"
08-03-11,19:20,10.6,67,12.7,"290
"
08-03-11,19:25,10.6,67,9.5,"285
"
08-03-11,19:29,10.7,66,12.5,"290
"
08-03-11,19:34,10.7,66,3.5,"290
"
08-03-11,19:40,10.6,66,5.6,"295
"
08-03-11,19:45,10.6,66,6.8,"290
"
08-03-11,19:50,10.4,66,8.2,"285
"
08-03-11,19:50,10.4,66,8.2,"285
"
08-03-11,19:55,10.4,66,6.0,"295
"
08-03-11,20:00,10.4,66,7.1,"290
"
08-03-11,20:05,10.3,66,2.5,"295
"
08-03-11,20:15,10.1,66,4.7,"295
"
08-03-11,20:20,10,66,3.1,"295
"
08-03-11,20:25,10,66,0.0,"295
"
08-03-11,20:30,9.9,67,0.0,"295
"
08-03-11,20:35,9.9,67,3.9,"295
"
08-03-11,20:40,9.9,67,4.7,"285
"
08-03-11,20:45,9.7,67,2.9,"290
"
08-03-11,20:50,9.6,67,4.4,"290
"
08-03-11,20:55,9.6,67,0.1,"300
"
08-03-11,21:00,9.6,67,4.3,"290
"
08-03-11,21:04,9.6,67,0.4,"290
"
08-03-11,21:10,9.6,68,0.0,"290
"
08-03-11,21:15,9.6,68,0.0,"290
"
08-03-11,21:20,9.6,68,0.6,"290
"
08-03-11,21:25,9.6,68,0.0,"295
"
08-03-11,21:30,9.6,68,0.0,"295
"
08-03-11,21:35,9.6,68,3.5,"295
"
08-03-11,21:40,9.6,68,0.5,"295
"
08-03-11,21:45,9.6,68,0.0,"295
"
08-03-11,21:50,9.5,68,0.0,"295
"
08-03-11,21:55,9.5,68,0.0,"295
"
08-03-11,22:00,9.5,68,3.9,"295
"
08-03-11,22:05,9.5,68,0.9,"295
"
08-03-11,22:09,9.5,68,5.5,"290
"
08-03-11,22:14,9.4,67,6.5,"285
"
08-03-11,22:20,9.4,67,6.5,"285
"
08-03-11,22:25,9.5,67,6.5,"285
"
08-03-11,22:30,9.6,67,6.5,"285
"
08-03-11,22:35,9.6,67,5.5,"290
"
08-03-11,22:40,9.6,67,5.5,"290
"
08-03-11,22:45,9.6,67,0.0,"300
"
08-03-11,22:50,9.7,66,0.0,"300
"
08-03-11,22:55,9.7,66,0.0,"300
"
08-03-11,23:00,9.7,66,0.0,"300
"
08-03-11,23:05,9.6,66,4.5,"295
"
08-03-11,23:10,9.6,66,0.0,"285
"
08-03-11,23:15,9.6,66,0.6,"295
"
08-03-11,23:19,9.5,66,0.0,"295
"
08-03-11,23:25,9.5,66,0.1,"295
"
08-03-11,23:30,9.5,66,0.0,"300
"
08-03-11,23:35,9.5,66,0.0,"300
"
08-03-11,23:40,9.4,66,0.0,"300
"
08-03-11,23:45,9.4,66,0.0,"300
"
08-03-11,23:50,9.2,66,0.0,"300
"
08-03-11,23:55,9.2,67,0.0,"300
"
